No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
334,ICBP,Indofood CBP Sukses Makmur Tbk.,Utama,Noncyc,100,9650,1.05%,gainersRendah,6668600,volumeRendah,63931937500,nilaiSedang nilaiRendah,3260,freqSedang freqRendah
335,ICON,Island Concepts Indonesia Tbk.,Pengembangan,Industrials,-1,77,-1.28%,gainersRendah,2742900,volumeRendah,212832200,nilaiRendah,474,freqRendah
336,IDEA,Idea Indonesia Akademi Tbk.,Akselerasi,Cyclic,0,56,0.00%,gainersRendah,139400,volumeRendah,7778000,nilaiRendah,30,freqRendah
337,IDPR,Indonesia Pondasi Raya Tbk.,Utama,Infrasctructures,-1,166,-0.60%,gainersRendah,179100,volumeRendah,29846400,nilaiRendah,41,freqRendah
338,IFII,Indonesia Fibreboard Industry Tbk.,Utama,Basic Materials,1,160,0.63%,gainersRendah,95300,volumeRendah,15339700,nilaiRendah,90,freqRendah
339,IFSH,Ifishdeco Tbk.,Pengembangan,Basic Materials,-20,990,-1.98%,gainersRendah,300,volumeRendah,299000,nilaiRendah,3,freqRendah
340,IGAR,Champion Pacific Indonesia Tbk.,Utama,Basic Materials,0,478,0.00%,gainersRendah,46500,volumeRendah,22246600,nilaiRendah,37,freqRendah
341,IIKP,Inti Agri Resources Tbk,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
342,IKAI,Intikeramik Alamasri Industri Tbk.,Utama,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
343,IKAN,Era Mandiri Cemerlang Tbk.,Pengembangan,Noncyc,0,65,0.00%,gainersRendah,1486600,volumeRendah,96103400,nilaiRendah,140,freqRendah
344,IKBI,Sumi Indo Kabel Tbk.,Pengembangan,Industrials,-8,208,-3.70%,gainersRendah,237700,volumeRendah,48831200,nilaiRendah,59,freqRendah
345,IMAS,Indomobil Sukses Internasional Tbk.,Utama,Cyclic,-5,955,-0.52%,gainersRendah,2334500,volumeRendah,2227942500,nilaiRendah,369,freqRendah
346,IMJS,Indomobil Multi Jasa Tbk.,Utama,Financials,0,270,0.00%,gainersRendah,1338600,volumeRendah,363874200,nilaiRendah,130,freqRendah
347,IMPC,Impack Pratama Industri Tbk.,Pengembangan,Industrials,0,3330,0.00%,gainersRendah,6187900,volumeRendah,20727072000,nilaiSedang nilaiRendah,547,freqRendah
348,INAF,Indofarma Tbk.,Utama,Healthcare,-30,895,-3.24%,gainersRendah,173700,volumeRendah,158114000,nilaiRendah,145,freqRendah
349,INAI,Indal Aluminium Industry Tbk.,Pengembangan,Basic Materials,-2,270,-0.74%,gainersRendah,30300,volumeRendah,8119200,nilaiRendah,31,freqRendah
350,INCF,Indo Komoditi Korpora Tbk.,Pengembangan,Basic Materials,-2,53,-3.64%,gainersRendah,8067400,volumeRendah,432310800,nilaiRendah,388,freqRendah
351,INCI,Intanwijaya Internasional Tbk,Utama,Basic Materials,-10,690,-1.43%,gainersRendah,75500,volumeRendah,51759000,nilaiRendah,48,freqRendah
